fiscalquartername,FiscalPeriod,FiscalYear,Company,Top_Most_BP,BusinessPartner,Item_Number,Item_Description,Ship_to_State,Ship_to_City,Quantity,Planned_Delivery_Date,Address_1,Address_2,Postal_Code,Budget_Qty,Forecast_Qty,Line_of_Business,domestic_or_international,planned_delivery_year,planned_delivery_month,planned_delivery_month_num,planned_delivery_day
"Fiscal Quarter 1, 2010",201003,2010,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Huron,0,2009-12-11T00:00:00Z,19800 Gale Avenue,NA,93234,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Dec,12,11
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Los Banos,1600,2010-10-12T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Oct,10,12
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),200304,BS 0220 APPHM 1F 800X/800,CA,Lemoore,500,2010-10-12T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Oct,10,12
"Fiscal Quarter 1, 2010",201002,2010,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS007751),201869,BG 1320 PPHN2FT 4300C/4300-OBS,KS,NEW CENTURY,140,2009-11-06T00:00:00Z,27080 W. 159TH STREET,NA,66031-1129,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Nov,11,6
"Fiscal Quarter 1, 2010",201002,2010,620 (Scholle IPN Canada Ltd.),SUN-RYPE PRODUCTS LTD (CUS200510),SUN-RYPE PRODUCTS LTD (CUS200510),201387,BS 0002 AVHM 2600/2600 CTR,BC,KELOWNA,1020,2009-11-25T00:00:00Z,1165 - ETHEL ST,NA,V1Y 2W4,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2009,Nov,11,25
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Company (CUS000613),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,OAKDALE,1260,2010-10-07T00:00:00Z,554 SOUTH YOSEMITE AVENUE,NA,95361,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Oct,10,7
"Fiscal Quarter 1, 2011",201103,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,266,2010-12-22T00:00:00Z,1357 Isett Avenue,NA,52761-4521,200,200,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Dec,12,22
"Fiscal Quarter 1, 2010",201002,2010,620 (Scholle IPN Canada Ltd.),SUN-RYPE PRODUCTS LTD (CUS200510),SUN-RYPE PRODUCTS LTD (CUS200510),200322,BG 0220 APHM 2600/2600,BC,KELOWNA,6e3,2009-11-25T00:00:00Z,1165 - ETHEL ST,NA,V1Y 2W4,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2009,Nov,11,25
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Lemoore,1600,2010-10-01T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Oct,10,1
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)","Peravia Industrial, Sa (CUS005257)","Peravia Industrial, Sa (CUS005257)",200322,BG 0220 APHM 2600/2600,NA,"BANI, Republica Dominicana",21600,2010-10-26T00:00:00Z,CALLE CANELA MOTA S/N,ALTOS DE LOS MELONES,NA,0,0,TOMATO (PROCESSED FRUIT TOMATO),unknown,2010,Oct,10,26
"Fiscal Quarter 1, 2012",201201,2012,"611 (Northlake, IL)",SALSAS CASTILLO SAPI DE CV. (CUS008604),SALSAS CASTILLO SAPI DE CV. (CUS008604),200301,BS 0220 APHM 1F 800X/800,AZ,"Nogales, AZ",120,2011-10-11T00:00:00Z,1447 West La Quinta Road,NA,85621,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Oct,10,11
"Fiscal Quarter 1, 2010",201001,2010,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,-1540,2009-10-12T00:00:00Z,8380 Pedrick Road,NA,95620-9606,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Oct,10,12
"Fiscal Quarter 1, 2010",201001,2010,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,-10,2009-09-29T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Sep,9,29
"Fiscal Quarter 1, 2010",201003,2010,"611 (Northlake, IL)",KMC Citrus Enterprises Inc (CUS000423),KMC Citrus Enterprises Inc (CUS000423),200028,BS 0004 APHM 1F 800R/800,FL,Weirsdale,3e3,2009-12-21T00:00:00Z,16425 SE Highway 42,NA,32195-2613,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Dec,12,21
"Fiscal Quarter 1, 2010",201001,2010,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,7920,2009-10-02T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Oct,10,2
"Fiscal Quarter 1, 2010",201002,2010,"611 (Northlake, IL)",UNILEVER (GPC000012),Unilever Bestfoods (CUS007751),201869,BG 1320 PPHN2FT 4300C/4300-OBS,KS,NEW CENTURY,120,2009-10-30T00:00:00Z,27080 W. 159TH STREET,NA,66031-1129,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Oct,10,30
"Fiscal Quarter 1, 2010",201002,2010,"613 (Merced, CA)",HEINZ (GPC000002),Heinz Innovation Center (CUS003528),200301,BS 0220 APHM 1F 800X/800,PA,WARRENDALE,30,2009-11-02T00:00:00Z,1000 MARCONI DRIVE,NA,15086-7502,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2009,Nov,11,2
"Fiscal Quarter 1, 2011",201101,2011,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,2860,2010-10-08T00:00:00Z,8380 Pedrick Road,NA,95620-9606,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Oct,10,8
