"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.1042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.0884,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.9597,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.744,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.6167,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.6464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.8048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.9368,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.0735,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.1826,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.032,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.5515,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.86643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.54187,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.61662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92783,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.1542,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2124,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.1484,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.0797,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.023,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.9631,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.90971,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.83929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.74844,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.72438,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.68198,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.62363,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.56383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.46947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.31971,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.20033,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.09969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.02808,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.11839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.46182,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0176,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.3876,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.4395,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.2911,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1401,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.059,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0279,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0155,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0107,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0345,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.1451,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.8153,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.0752,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.0954,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.93,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.7645,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.6099,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.4684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.3694,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.2756,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.182,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.2095,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.4627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",100.8847,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.1214,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.0434,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.7449,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.5042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.3738,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.3039,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.2722,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.2363,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.1655,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.0762,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",99.98518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.88097,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.81461,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.76814,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.72094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.69621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.69018,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.69694,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.71439,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.73753,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.74095,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.65574,
